,Fund1,Fund2,DTW_distance
102,AMG Montrusco Bolton Large Cap Growth Fd,Fidelity® Capital Appreciation Fund,913.6305871356612
103,AMG Montrusco Bolton Large Cap Growth Fd,Fidelity® Focused Stock Fund,1019.0827249833727
104,AMG Montrusco Bolton Large Cap Growth Fd,Fidelity® Growth Discovery Fund,947.1989149570514
105,AMG Montrusco Bolton Large Cap Growth Fd,Fidelity® Large Cap Growth Enh Idx Fd,994.9600669888345
106,AMG Montrusco Bolton Large Cap Growth Fd,Fidelity® Trend Fund,864.02812271566
107,AMG Montrusco Bolton Large Cap Growth Fd,GuideStone Funds Growth Equity Fund,944.6457147720425
108,AMG Montrusco Bolton Large Cap Growth Fd,Hartford Growth Opportunities Fund,1137.851289739405
109,AMG Montrusco Bolton Large Cap Growth Fd,Invesco Capital Appreciation Fd,766.3915369332592
110,AMG Montrusco Bolton Large Cap Growth Fd,Invesco Summit Fund,816.5032169744765
111,AMG Montrusco Bolton Large Cap Growth Fd,JHFunds2 Capital Appreciation Fund,1088.4290113227935
112,AMG Montrusco Bolton Large Cap Growth Fd,JHancock Blue Chip Growth Fund,943.3207917458747
113,AMG Montrusco Bolton Large Cap Growth Fd,JHancock US Global Leaders Growth Fund,703.8769343127733
114,AMG Montrusco Bolton Large Cap Growth Fd,JNL/BlackRock Large Cap Select Growth Fd,925.0163377362977
115,AMG Montrusco Bolton Large Cap Growth Fd,JNL/T. Rowe Price Established Growth Fd,973.1301189625711
116,AMG Montrusco Bolton Large Cap Growth Fd,Jackson Square Large Cap Growth Fd,848.3197823473399
117,AMG Montrusco Bolton Large Cap Growth Fd,Janus Henderson Forty Fund,926.438852261593
118,AMG Montrusco Bolton Large Cap Growth Fd,Janus Henderson Research Fund,829.9552966520728
119,AMG Montrusco Bolton Large Cap Growth Fd,John Hancock Funds III U.S. Growth Fd,887.4397439911102
120,AMG Montrusco Bolton Large Cap Growth Fd,Loomis Sayles Growth Fund,970.3059308585998
121,AMG Montrusco Bolton Large Cap Growth Fd,Lord Abbett Growth Leaders Fund,1363.121436903063
122,AMG Montrusco Bolton Large Cap Growth Fd,MFS Massachusetts Investors Gr Stk Fund,855.115695713082
123,AMG Montrusco Bolton Large Cap Growth Fd,MainStay WMC Growth Fd,778.2809649892542
124,AMG Montrusco Bolton Large Cap Growth Fd,Morgan Stanley Insight Fund,1780.5624798278113
125,AMG Montrusco Bolton Large Cap Growth Fd,Neuberger Berman Large Cap Growth Fund,790.5558893278414
126,AMG Montrusco Bolton Large Cap Growth Fd,Nuveen Winslow Large-Cap Growth ESG Fund,819.082092462637
127,AMG Montrusco Bolton Large Cap Growth Fd,Optimum Large Cap Growth Fund,913.7030684785569
128,AMG Montrusco Bolton Large Cap Growth Fd,PACE Large Co Growth Equity Invmt,777.1298434763606
